      Time     Sample #  Type  Sub Chan  Num	Aux
[01:07:32.124]    23031     N    0    0    0
[01:07:33.048]    23262     N    0    0    0
[01:07:34.020]    23505     N    0    0    0
[01:07:34.976]    23744     N    0    0    0
[01:07:35.872]    23968     N    0    0    0
[01:07:36.752]    24188     N    0    0    0
[01:07:37.676]    24419     N    0    0    0
[01:07:38.600]    24650     N    0    0    0
[01:07:39.532]    24883     N    0    0    0
[01:07:40.424]    25106     N    0    0    0
[01:07:41.264]    25316     N    0    0    0
[01:07:42.072]    25518     N    0    0    0
[01:07:42.912]    25728     N    0    0    0
[01:07:43.788]    25947     N    0    0    0
[01:07:44.664]    26166     N    0    0    0
[01:07:45.556]    26389     N    0    0    0
[01:07:46.396]    26599     N    0    0    0
[01:07:47.208]    26802     N    0    0    0
[01:07:48.024]    27006     N    0    0    0
[01:07:48.856]    27214     N    0    0    0
[01:07:49.680]    27420     N    0    0    0
[01:07:50.496]    27624     N    0    0    0
[01:07:51.272]    27818     N    0    0    0
[01:07:52.012]    28003     N    0    0    0
[01:07:52.764]    28191     N    0    0    0
[01:07:53.528]    28382     N    0    0    0
[01:07:54.332]    28583     N    0    0    0
[01:07:55.108]    28777     N    0    0    0
[01:07:55.848]    28962     N    0    0    0
[01:07:56.572]    29143     N    0    0    0
[01:07:57.304]    29326     N    0    0    0
[01:07:58.072]    29518     N    0    0    0
[01:07:58.840]    29710     N    0    0    0
[01:07:59.592]    29898     N    0    0    0
[01:08:00.340]    30085     N    0    0    0
[01:08:01.144]    30286     N    0    0    0
[01:08:02.040]    30510     N    0    0    0
[01:08:02.900]    30725     N    0    0    0
[01:08:03.720]    30930     N    0    0    0
[01:08:04.564]    31141     N    0    0    0
[01:08:05.460]    31365     N    0    0    0
[01:08:06.328]    31582     N    0    0    0
[01:08:07.176]    31794     N    0    0    0
[01:08:08.180]    32045     N    0    0    0
[01:08:09.192]    32298     N    0    0    0
[01:08:10.160]    32540     N    0    0    0
[01:08:11.120]    32780     N    0    0    0
[01:08:12.112]    33028     N    0    0    0
[01:08:13.140]    33285     N    0    0    0
[01:08:14.160]    33540     N    0    0    0
[01:08:15.076]    33769     N    0    0    0
[01:08:15.948]    33987     N    0    0    0
[01:08:16.812]    34203     N    0    0    0
[01:08:17.680]    34420     N    0    0    0
[01:08:18.556]    34639     N    0    0    0
[01:08:19.364]    34841     N    0    0    0
[01:08:20.120]    35030     N    0    0    0
[01:08:20.876]    35219     N    0    0    0
[01:08:21.624]    35406     N    0    0    0
[01:08:22.412]    35603     N    0    0    0
[01:08:23.220]    35805     N    0    0    0
[01:08:23.980]    35995     N    0    0    0
[01:08:24.712]    36178     N    0    0    0
[01:08:25.436]    36359     N    0    0    0
[01:08:26.184]    36546     N    0    0    0
[01:08:26.968]    36742     N    0    0    0
[01:08:27.772]    36943     N    0    0    0
[01:08:28.532]    37133     N    0    0    0
[01:08:29.280]    37320     N    0    0    0
[01:08:30.032]    37508     N    0    0    0
[01:08:30.824]    37706     N    0    0    0
[01:08:31.676]    37919     N    0    0    0
[01:08:32.464]    38116     N    0    0    0
[01:08:33.208]    38302     N    0    0    0
[01:08:33.936]    38484     N    0    0    0
[01:08:34.680]    38670     N    0    0    0
[01:08:35.400]    38850     N    0    0    0
[01:08:36.116]    39029     N    0    0    0
[01:08:36.876]    39219     N    0    0    0
[01:08:37.628]    39407     N    0    0    0
[01:08:38.356]    39589     N    0    0    0
[01:08:39.104]    39776     N    0    0    0
[01:08:39.880]    39970     N    0    0    0
[01:08:40.632]    40158     N    0    0    0
[01:08:41.392]    40348     N    0    0    0
[01:08:42.220]    40555     N    0    0    0
[01:08:43.104]    40776     N    0    0    0
[01:08:43.956]    40989     N    0    0    0
[01:08:44.784]    41196     N    0    0    0
[01:08:45.696]    41424     N    0    0    0
[01:08:46.672]    41668     N    0    0    0
[01:08:47.652]    41913     N    0    0    0
[01:08:48.580]    42145     N    0    0    0
[01:08:49.540]    42385     N    0    0    0
[01:08:50.516]    42629     N    0    0    0
[01:08:51.500]    42875     N    0    0    0
[01:08:52.472]    43118     N    0    0    0
[01:08:53.400]    43350     N    0    0    0
[01:08:54.344]    43586     N    0    0    0
[01:08:55.340]    43835     N    0    0    0
[01:08:56.328]    44082     N    0    0    0
[01:08:57.284]    44321     N    0    0    0
[01:08:58.228]    44557     N    0    0    0
[01:08:59.156]    44789     N    0    0    0
[01:09:00.076]    45019     N    0    0    0
[01:09:00.960]    45240     N    0    0    0
[01:09:01.784]    45446     N    0    0    0
[01:09:02.556]    45639     N    0    0    0
[01:09:03.336]    45834     N    0    0    0
[01:09:04.108]    46027     N    0    0    0
[01:09:04.896]    46224     N    0    0    0
[01:09:05.704]    46426     N    0    0    0
[01:09:06.468]    46617     N    0    0    0
[01:09:07.208]    46802     N    0    0    0
[01:09:07.952]    46988     N    0    0    0
[01:09:08.720]    47180     N    0    0    0
[01:09:09.580]    47395     N    0    0    0
[01:09:10.480]    47620     N    0    0    0
[01:09:11.304]    47826     N    0    0    0
[01:09:12.084]    48021     N    0    0    0
[01:09:12.864]    48216     N    0    0    0
[01:09:13.648]    48412     N    0    0    0
[01:09:14.460]    48615     N    0    0    0
[01:09:15.204]    48801     N    0    0    0
[01:09:15.932]    48983     N    0    0    0
[01:09:16.648]    49162     N    0    0    0
[01:09:17.384]    49346     N    0    0    0
[01:09:18.184]    49546     N    0    0    0
[01:09:18.952]    49738     N    0    0    0
[01:09:19.676]    49919     N    0    0    0
[01:09:20.400]    50100     N    0    0    0
[01:09:21.136]    50284     N    0    0    0
[01:09:21.856]    50464     N    0    0    0
[01:09:22.572]    50643     N    0    0    0
[01:09:23.320]    50830     N    0    0    0
[01:09:24.056]    51014     N    0    0    0
[01:09:24.780]    51195     N    0    0    0
[01:09:25.532]    51383     N    0    0    0
[01:09:26.284]    51571     N    0    0    0
[01:09:27.020]    51755     N    0    0    0
[01:09:27.788]    51947     N    0    0    0
[01:09:28.636]    52159     N    0    0    0
[01:09:29.580]    52395     N    0    0    0
[01:09:30.488]    52622     N    0    0    0
[01:09:31.432]    52858     N    0    0    0
[01:09:32.468]    53117     N    0    0    0
[01:09:33.456]    53364     N    0    0    0
[01:09:34.440]    53610     N    0    0    0
[01:09:35.396]    53849     N    0    0    0
[01:09:36.340]    54085     N    0    0    0
[01:09:37.328]    54332     N    0    0    0
[01:09:38.308]    54577     N    0    0    0
[01:09:39.292]    54823     N    0    0    0
[01:09:40.244]    55061     N    0    0    0
[01:09:41.168]    55292     N    0    0    0
[01:09:42.112]    55528     N    0    0    0
[01:09:43.068]    55767     N    0    0    0
[01:09:43.972]    55993     N    0    0    0
[01:09:44.860]    56215     N    0    0    0
[01:09:45.724]    56431     N    0    0    0
[01:09:46.568]    56642     N    0    0    0
[01:09:47.388]    56847     N    0    0    0
[01:09:48.200]    57050     N    0    0    0
[01:09:49.008]    57252     N    0    0    0
[01:09:49.812]    57453     N    0    0    0
[01:09:50.568]    57642     N    0    0    0
[01:09:51.320]    57830     N    0    0    0
[01:09:52.076]    58019     N    0    0    0
[01:09:52.896]    58224     N    0    0    0
[01:09:53.716]    58429     N    0    0    0
[01:09:54.492]    58623     N    0    0    0
[01:09:55.248]    58812     N    0    0    0
[01:09:55.984]    58996     N    0    0    0
[01:09:56.728]    59182     N    0    0    0
[01:09:57.480]    59370     N    0    0    0
[01:09:58.264]    59566     N    0    0    0
[01:09:59.040]    59760     N    0    0    0
[01:09:59.776]    59944     N    0    0    0
[01:10:00.500]    60125     N    0    0    0
[01:10:01.216]    60304     N    0    0    0
[01:10:01.932]    60483     N    0    0    0
[01:10:02.648]    60662     N    0    0    0
[01:10:03.360]    60840     N    0    0    0
[01:10:04.092]    61023     N    0    0    0
[01:10:04.804]    61201     N    0    0    0
[01:10:05.508]    61377     N    0    0    0
[01:10:06.236]    61559     N    0    0    0
[01:10:06.996]    61749     N    0    0    0
[01:10:07.732]    61933     N    0    0    0
[01:10:08.468]    62117     N    0    0    0
[01:10:09.252]    62313     N    0    0    0
[01:10:10.036]    62509     N    0    0    0
[01:10:10.788]    62697     N    0    0    0
[01:10:11.600]    62900     N    0    0    0
[01:10:12.400]    63100     N    0    0    0
[01:10:13.172]    63293     N    0    0    0
[01:10:13.996]    63499     N    0    0    0
[01:10:14.884]    63721     N    0    0    0
[01:10:15.732]    63933     N    0    0    0
[01:10:16.600]    64150     N    0    0    0
[01:10:17.560]    64390     N    0    0    0
[01:10:18.576]    64644     N    0    0    0
[01:10:19.612]    64903     N    0    0    0
[01:10:20.648]    65162     N    0    0    0
[01:10:21.624]    65406     N    0    0    0
[01:10:22.632]    65658     N    0    0    0
[01:10:23.644]    65911     N    0    0    0
[01:10:24.632]    66158     N    0    0    0
[01:10:25.604]    66401     N    0    0    0
[01:10:26.560]    66640     N    0    0    0
[01:10:27.508]    66877     N    0    0    0
[01:10:28.440]    67110     N    0    0    0
[01:10:29.360]    67340     N    0    0    0
[01:10:30.276]    67569     N    0    0    0
[01:10:31.176]    67794     N    0    0    0
[01:10:32.080]    68020     N    0    0    0
[01:10:32.956]    68239     N    0    0    0
[01:10:33.820]    68455     N    0    0    0
[01:10:34.716]    68679     N    0    0    0
[01:10:35.600]    68900     N    0    0    0
[01:10:36.480]    69120     N    0    0    0
[01:10:37.352]    69338     N    0    0    0
[01:10:38.176]    69544     N    0    0    0
[01:10:38.984]    69746     N    0    0    0
[01:10:39.828]    69957     N    0    0    0
[01:10:40.716]    70179     N    0    0    0
[01:10:41.616]    70404     N    0    0    0
[01:10:42.532]    70633     N    0    0    0
[01:10:43.380]    70845     N    0    0    0
[01:10:44.168]    71042     N    0    0    0
[01:10:44.920]    71230     N    0    0    0
[01:10:45.692]    71423     N    0    0    0
[01:10:46.472]    71618     N    0    0    0
[01:10:47.284]    71821     N    0    0    0
[01:10:48.112]    72028     N    0    0    0
[01:10:48.876]    72219     N    0    0    0
[01:10:49.616]    72404     N    0    0    0
[01:10:50.360]    72590     N    0    0    0
[01:10:51.116]    72779     N    0    0    0
[01:10:51.896]    72974     N    0    0    0
[01:10:52.684]    73171     N    0    0    0
[01:10:53.452]    73363     N    0    0    0
[01:10:54.188]    73547     N    0    0    0
[01:10:54.936]    73734     N    0    0    0
[01:10:55.656]    73914     N    0    0    0
[01:10:56.356]    74089     N    0    0    0
[01:10:57.040]    74260     N    0    0    0
[01:10:57.752]    74438     N    0    0    0
[01:10:58.468]    74617     N    0    0    0
[01:10:59.164]    74791     N    0    0    0
[01:10:59.880]    74970     N    0    0    0
[01:11:00.600]    75150     N    0    0    0
[01:11:01.320]    75330     N    0    0    0
[01:11:02.036]    75509     N    0    0    0
[01:11:02.776]    75694     N    0    0    0
[01:11:03.516]    75879     N    0    0    0
[01:11:04.232]    76058     N    0    0    0
[01:11:04.988]    76247     N    0    0    0
[01:11:05.808]    76452     N    0    0    0
[01:11:06.692]    76673     N    0    0    0
[01:11:07.552]    76888     N    0    0    0
[01:11:08.536]    77134     N    0    0    0
[01:11:09.544]    77386     N    0    0    0
[01:11:10.584]    77646     N    0    0    0
[01:11:11.620]    77905     N    0    0    0
[01:11:12.636]    78159     N    0    0    0
[01:11:13.648]    78412     N    0    0    0
[01:11:14.644]    78661     N    0    0    0
[01:11:15.632]    78908     N    0    0    0
[01:11:16.620]    79155     N    0    0    0
[01:11:17.596]    79399     N    0    0    0
[01:11:18.544]    79636     N    0    0    0
[01:11:19.488]    79872     N    0    0    0
[01:11:20.424]    80106     N    0    0    0
[01:11:21.364]    80341     N    0    0    0
[01:11:22.288]    80572     N    0    0    0
[01:11:23.220]    80805     N    0    0    0
[01:11:24.164]    81041     N    0    0    0
[01:11:25.084]    81271     N    0    0    0
[01:11:26.000]    81500     N    0    0    0
[01:11:26.928]    81732     N    0    0    0
[01:11:27.844]    81961     N    0    0    0
[01:11:28.704]    82176     N    0    0    0
[01:11:29.496]    82374     N    0    0    0
[01:11:30.244]    82561     N    0    0    0
[01:11:31.004]    82751     N    0    0    0
[01:11:31.764]    82941     N    0    0    0
[01:11:32.572]    83143     N    0    0    0
[01:11:33.396]    83349     N    0    0    0
[01:11:34.188]    83547     N    0    0    0
[01:11:34.940]    83735     N    0    0    0
[01:11:35.704]    83926     N    0    0    0
[01:11:36.480]    84120     N    0    0    0
[01:11:37.284]    84321     N    0    0    0
[01:11:38.052]    84513     N    0    0    0
[01:11:38.788]    84697     N    0    0    0
[01:11:39.512]    84878     N    0    0    0
[01:11:40.248]    85062     N    0    0    0
[01:11:40.996]    85249     N    0    0    0
[01:11:41.768]    85442     N    0    0    0
[01:11:42.484]    85621     N    0    0    0
[01:11:43.192]    85798     N    0    0    0
[01:11:43.912]    85978     N    0    0    0
[01:11:44.620]    86155     N    0    0    0
[01:11:45.316]    86329     N    0    0    0
[01:11:46.024]    86506     N    0    0    0
[01:11:46.744]    86686     N    0    0    0
[01:11:47.456]    86864     N    0    0    0
[01:11:48.200]    87050     N    0    0    0
[01:11:49.008]    87252     N    0    0    0
[01:11:49.800]    87450     N    0    0    0
[01:11:50.576]    87644     N    0    0    0
[01:11:51.504]    87876     N    0    0    0
[01:11:52.464]    88116     N    0    0    0
[01:11:53.412]    88353     N    0    0    0
[01:11:54.252]    88563     N    0    0    0
[01:11:55.016]    88754     N    0    0    0
[01:11:55.764]    88941     N    0    0    0
[01:11:56.480]    89120     N    0    0    0
[01:11:57.176]    89294     N    0    0    0
[01:11:57.864]    89466     N    0    0    0
[01:11:58.564]    89641     N    0    0    0
[01:11:59.292]    89823     N    0    0    0
[01:12:00.024]    90006     N    0    0    0
[01:12:00.780]    90195     N    0    0    0
[01:12:01.632]    90408     N    0    0    0
[01:12:02.432]    90608     N    0    0    0
[01:12:03.312]    90828     N    0    0    0
[01:12:04.204]    91051     N    0    0    0
[01:12:05.112]    91278     N    0    0    0
[01:12:06.004]    91501     N    0    0    0
[01:12:06.880]    91720     N    0    0    0
[01:12:07.804]    91951     N    0    0    0
[01:12:08.752]    92188     N    0    0    0
[01:12:09.712]    92428     N    0    0    0
[01:12:10.672]    92668     N    0    0    0
[01:12:11.636]    92909     N    0    0    0
[01:12:12.604]    93151     N    0    0    0
[01:12:13.556]    93389     N    0    0    0
[01:12:14.508]    93627     N    0    0    0
[01:12:15.480]    93870     N    0    0    0
[01:12:16.460]    94115     N    0    0    0
[01:12:17.424]    94356     N    0    0    0
[01:12:18.368]    94592     N    0    0    0
[01:12:19.296]    94824     N    0    0    0
[01:12:20.240]    95060     N    0    0    0
[01:12:21.204]    95301     N    0    0    0
[01:12:22.168]    95542     N    0    0    0
[01:12:23.140]    95785     N    0    0    0
[01:12:24.088]    96022     N    0    0    0
[01:12:25.024]    96256     N    0    0    0
[01:12:25.864]    96466     N    0    0    0
[01:12:26.684]    96671     N    0    0    0
[01:12:27.500]    96875     N    0    0    0
[01:12:28.332]    97083     N    0    0    0
[01:12:29.112]    97278     N    0    0    0
[01:12:29.864]    97466     N    0    0    0
[01:12:30.620]    97655     N    0    0    0
[01:12:31.412]    97853     N    0    0    0
[01:12:32.272]    98068     N    0    0    0
[01:12:33.136]    98284     N    0    0    0
[01:12:33.948]    98487     N    0    0    0
[01:12:34.720]    98680     N    0    0    0
[01:12:35.512]    98878     N    0    0    0
[01:12:36.312]    99078     N    0    0    0
[01:12:37.112]    99278     N    0    0    0
[01:12:37.860]    99465     N    0    0    0
[01:12:38.612]    99653     N    0    0    0
[01:12:39.364]    99841     N    0    0    0
[01:12:40.128]   100032     N    0    0    0
[01:12:40.876]   100219     N    0    0    0
[01:12:41.604]   100401     N    0    0    0
[01:12:42.316]   100579     N    0    0    0
[01:12:43.016]   100754     N    0    0    0
[01:12:43.708]   100927     N    0    0    0
[01:12:44.408]   101102     N    0    0    0
[01:12:45.120]   101280     N    0    0    0
[01:12:45.824]   101456     N    0    0    0
[01:12:46.552]   101638     N    0    0    0
[01:12:47.340]   101835     N    0    0    0
[01:12:48.140]   102035     N    0    0    0
[01:12:48.900]   102225     N    0    0    0
[01:12:49.696]   102424     N    0    0    0
[01:12:50.576]   102644     N    0    0    0
[01:12:51.524]   102881     N    0    0    0
[01:12:52.444]   103111     N    0    0    0
[01:12:53.348]   103337     N    0    0    0
[01:12:54.340]   103585     N    0    0    0
[01:12:55.352]   103838     N    0    0    0
[01:12:56.348]   104087     N    0    0    0
[01:12:57.312]   104328     N    0    0    0
[01:12:58.296]   104574     N    0    0    0
[01:12:59.280]   104820     N    0    0    0
[01:13:00.244]   105061     N    0    0    0
[01:13:01.192]   105298     N    0    0    0
[01:13:02.096]   105524     N    0    0    0
[01:13:02.972]   105743     N    0    0    0
[01:13:03.844]   105961     N    0    0    0
[01:13:04.708]   106177     N    0    0    0
[01:13:05.584]   106396     N    0    0    0
[01:13:06.460]   106615     N    0    0    0
[01:13:07.300]   106825     N    0    0    0
[01:13:08.132]   107033     N    0    0    0
[01:13:08.968]   107242     N    0    0    0
[01:13:09.796]   107449     N    0    0    0
[01:13:10.588]   107647     N    0    0    0
[01:13:11.372]   107843     N    0    0    0
[01:13:12.184]   108046     N    0    0    0
[01:13:13.008]   108252     N    0    0    0
[01:13:13.792]   108448     N    0    0    0
[01:13:14.528]   108632     N    0    0    0
[01:13:15.256]   108814     N    0    0    0
[01:13:15.984]   108996     N    0    0    0
[01:13:16.748]   109187     N    0    0    0
[01:13:17.512]   109378     N    0    0    0
[01:13:18.244]   109561     N    0    0    0
[01:13:18.964]   109741     N    0    0    0
[01:13:19.708]   109927     N    0    0    0
[01:13:20.464]   110116     N    0    0    0
[01:13:21.240]   110310     N    0    0    0
[01:13:21.988]   110497     N    0    0    0
[01:13:22.748]   110687     N    0    0    0
[01:13:23.504]   110876     N    0    0    0
[01:13:24.252]   111063     N    0    0    0
[01:13:24.980]   111245     N    0    0    0
[01:13:25.700]   111425     N    0    0    0
[01:13:26.444]   111611     N    0    0    0
[01:13:27.216]   111804     N    0    0    0
[01:13:27.968]   111992     N    0    0    0
[01:13:28.708]   112177     N    0    0    0
[01:13:29.476]   112369     N    0    0    0
[01:13:30.288]   112572     N    0    0    0
[01:13:31.144]   112786     N    0    0    0
[01:13:31.952]   112988     N    0    0    0
[01:13:32.720]   113180     N    0    0    0
[01:13:33.520]   113380     N    0    0    0
[01:13:34.400]   113600     N    0    0    0
[01:13:35.256]   113814     N    0    0    0
[01:13:36.080]   114020     N    0    0    0
[01:13:36.980]   114245     N    0    0    0
[01:13:37.952]   114488     N    0    0    0
[01:13:38.936]   114734     N    0    0    0
[01:13:39.900]   114975     N    0    0    0
[01:13:40.908]   115227     N    0    0    0
[01:13:41.956]   115489     N    0    0    0
[01:13:42.988]   115747     N    0    0    0
[01:13:43.976]   115994     N    0    0    0
[01:13:44.872]   116218     N    0    0    0
[01:13:45.788]   116447     N    0    0    0
[01:13:46.732]   116683     N    0    0    0
[01:13:47.704]   116926     N    0    0    0
[01:13:48.656]   117164     N    0    0    0
[01:13:49.556]   117389     N    0    0    0
[01:13:50.460]   117615     N    0    0    0
[01:13:51.384]   117846     N    0    0    0
[01:13:52.296]   118074     N    0    0    0
[01:13:53.212]   118303     N    0    0    0
[01:13:54.084]   118521     N    0    0    0
[01:13:54.900]   118725     N    0    0    0
[01:13:55.684]   118921     N    0    0    0
[01:13:56.464]   119116     N    0    0    0
[01:13:57.236]   119309     N    0    0    0
[01:13:58.048]   119512     N    0    0    0
[01:13:58.868]   119717     N    0    0    0
[01:13:59.648]   119912     N    0    0    0
[01:14:00.396]   120099     N    0    0    0
[01:14:01.156]   120289     N    0    0    0
[01:14:01.968]   120492     N    0    0    0
[01:14:02.788]   120697     N    0    0    0
[01:14:03.612]   120903     N    0    0    0
[01:14:04.384]   121096     N    0    0    0
[01:14:05.160]   121290     N    0    0    0
[01:14:05.904]   121476     N    0    0    0
[01:14:06.636]   121659     N    0    0    0
[01:14:07.356]   121839     N    0    0    0
[01:14:08.080]   122020     N    0    0    0
[01:14:08.848]   122212     N    0    0    0
[01:14:09.640]   122410     N    0    0    0
[01:14:10.400]   122600     N    0    0    0
[01:14:11.148]   122787     N    0    0    0
[01:14:11.920]   122980     N    0    0    0
[01:14:12.764]   123191     N    0    0    0
[01:14:13.652]   123413     N    0    0    0
[01:14:14.460]   123615     N    0    0    0
[01:14:15.280]   123820     N    0    0    0
[01:14:16.144]   124036     N    0    0    0
[01:14:17.056]   124264     N    0    0    0
[01:14:17.944]   124486     N    0    0    0
[01:14:18.884]   124721     N    0    0    0
[01:14:19.936]   124984     N    0    0    0
[01:14:20.964]   125241     N    0    0    0
[01:14:21.960]   125490     N    0    0    0
[01:14:22.960]   125740     N    0    0    0
[01:14:23.984]   125996     N    0    0    0
[01:14:24.976]   126244     N    0    0    0
[01:14:25.992]   126498     N    0    0    0
[01:14:26.980]   126745     N    0    0    0
[01:14:27.956]   126989     N    0    0    0
[01:14:28.912]   127228     N    0    0    0
[01:14:29.824]   127456     N    0    0    0
[01:14:30.724]   127681     N    0    0    0
[01:14:31.664]   127916     N    0    0    0
[01:14:32.660]   128165     N    0    0    0
[01:14:33.672]   128418     N    0    0    0
[01:14:34.648]   128662     N    0    0    0
[01:14:35.548]   128887     N    0    0    0
[01:14:36.396]   129099     N    0    0    0
[01:14:37.244]   129311     N    0    0    0
[01:14:38.120]   129530     N    0    0    0
[01:14:38.980]   129745     N    0    0    0
[01:14:39.784]   129946     N    0    0    0
[01:14:40.552]   130138     N    0    0    0
[01:14:41.304]   130326     N    0    0    0
[01:14:42.084]   130521     N    0    0    0
[01:14:42.904]   130726     N    0    0    0
[01:14:43.696]   130924     N    0    0    0
[01:14:44.452]   131113     N    0    0    0
[01:14:45.228]   131307     N    0    0    0
[01:14:46.036]   131509     N    0    0    0
[01:14:46.876]   131719     N    0    0    0
[01:14:47.768]   131942     N    0    0    0
[01:14:48.580]   132145     N    0    0    0
[01:14:49.360]   132340     N    0    0    0
[01:14:50.104]   132526     N    0    0    0
[01:14:50.828]   132707     N    0    0    0
[01:14:51.548]   132887     N    0    0    0
[01:14:52.324]   133081     N    0    0    0
[01:14:53.080]   133270     N    0    0    0
[01:14:53.816]   133454     N    0    0    0
[01:14:54.644]   133661     N    0    0    0
[01:14:55.508]   133877     N    0    0    0
[01:14:56.304]   134076     N    0    0    0
[01:14:57.084]   134271     N    0    0    0
[01:14:57.952]   134488     N    0    0    0
[01:14:58.772]   134693     N    0    0    0
[01:14:59.564]   134891     N    0    0    0
[01:15:00.432]   135108     N    0    0    0
[01:15:01.448]   135362     N    0    0    0
[01:15:02.444]   135611     N    0    0    0
[01:15:03.412]   135853     N    0    0    0
[01:15:04.436]   136109     N    0    0    0
[01:15:05.468]   136367     N    0    0    0
[01:15:06.468]   136617     N    0    0    0
[01:15:07.468]   136867     N    0    0    0
[01:15:08.464]   137116     N    0    0    0
[01:15:09.468]   137367     N    0    0    0
[01:15:10.460]   137615     N    0    0    0
[01:15:11.428]   137857     N    0    0    0
[01:15:12.416]   138104     N    0    0    0
[01:15:13.412]   138353     N    0    0    0
[01:15:14.412]   138603     N    0    0    0
[01:15:15.396]   138849     N    0    0    0
[01:15:16.380]   139095     N    0    0    0
[01:15:17.340]   139335     N    0    0    0
[01:15:18.244]   139561     N    0    0    0
